GEOID,NAMELSAD,neighborhood,court_count,courts_per_10k,courts_per_sqmi,median_household_income,income_q,total_population,pct_black,poverty_rate,LPA,OBESITY,MHLTH,area_sqmi,ALAND,city,has_court,lat,lon
17031710900,Census Tract 7109,Auburn Gresham,1,4.743833017077799,2.6136467302017867,48867.0,Q1 (lowest),2108,96.20493358633776,35.199240986717264,31.3,43.3,19.2,0.3826071781027557,990948,Chicago,Has court,41.74214629911677,-87.6396894817038
17031711000,Census Tract 7110,Auburn Gresham,1,2.8960324355632783,3.958059655417982,55197.0,Q1 (lowest),3453,90.87749782797567,20.677671589921808,36.0,44.0,19.4,0.2526490470226117,654358,Chicago,Has court,41.739643657245445,-87.64858106720008
17031819802,Census Tract 8198.02,,0,0.0,0.0,196125.0,Q4 (highest),2396,0.0,1.5442404006677797,12.4,23.8,11.4,0.670419322406127,1736378,Chicago,No court,41.79720188606728,-87.89490533950747
17031819900,Census Tract 8199,,0,0.0,0.0,235402.0,Q4 (highest),3188,0.09410288582183186,1.5056461731493098,12.3,24.0,11.4,0.8072284504793072,2090712,Chicago,No court,41.804181046740524,-87.90715786658184
17031820000,Census Tract 8200,,0,0.0,0.0,250001.0,Q4 (highest),2143,0.0,2.006532897806813,13.4,23.1,11.8,0.6684834061007232,1731364,Chicago,No court,41.80141152382275,-87.9139505276346
17031827400,Census Tract 8274,,0,0.0,0.0,34492.0,Q1 (lowest),2935,64.12265758091993,20.449521002210762,37.9,43.4,18.5,1.099786562717665,2848434,Chicago,No court,41.60537429067444,-87.66595225144412
17031827600,Census Tract 8276,,0,0.0,0.0,45064.0,Q1 (lowest),2807,83.2205201282508,21.44157262468147,37.1,45.2,19.4,0.874978957431463,2266185,Chicago,No court,41.59204564188609,-87.66414100353795
17031282700,Census Tract 2827,"Little Italy, Uic",0,0.0,0.0,88646.0,Q3,2221,38.63124718595227,13.300045392646393,18.4,29.5,15.8,0.16961352716692124,439297,Chicago,No court,41.871366868861806,-87.68868122492769
17031282800,Census Tract 2828,"Little Italy, Uic",0,0.0,0.0,85000.0,Q3,1669,10.60515278609946,13.84062312762133,21.9,28.6,16.6,0.06347674197718291,164404,Chicago,No court,41.870268395305516,-87.68491363569868
17031400300,Census Tract 4003,Washington Park,7,54.221533694810226,13.084986406130124,71288.0,Q2,1291,90.39504260263361,16.653696498054472,26.3,40.8,18.6,0.5349642546606393,1385551,Chicago,Has court,41.79310422490885,-87.6131830257534
17031400500,Census Tract 4005,Washington Park,1,3.4542314335060453,7.941118936437027,24659.0,Q1 (lowest),2895,97.34024179620035,43.523316062176164,35.3,46.5,21.7,0.12592683827106535,326149,Chicago,Has court,41.79104146933947,-87.62317914622955
17031400800,Census Tract 4008,Washington Park,0,0.0,0.0,22648.0,Q1 (lowest),3384,97.01536643026006,71.45390070921985,46.2,52.8,25.6,0.19047076665992274,493317,Chicago,No court,41.782863300673334,-87.62055800627418
17031410100,Census Tract 4101,,0,0.0,0.0,58667.0,Q2,2192,50.09124087591241,15.00912408759124,17.4,30.1,14.8,0.08529035655763656,220901,Chicago,No court,41.80150187741049,-87.5793432974531
17031410500,Census Tract 4105,Hyde Park,0,0.0,0.0,73041.0,Q2,3267,52.372206917661465,29.129222187790514,20.8,31.3,17.1,0.10154911914649797,263011,Chicago,No court,41.797830877089815,-87.60374228499694
17031410600,Census Tract 4106,Hyde Park,0,0.0,0.0,48071.0,Q1 (lowest),2378,24.85281749369218,34.284377923292794,21.0,28.6,17.1,0.09739234313054733,252245,Chicago,No court,41.79796875621742,-87.59894215267491
17031460100,Census Tract 4601,South Chicago,0,0.0,0.0,48207.0,Q1 (lowest),2405,71.22661122661123,21.76188399476668,31.6,42.1,18.1,1.1444280822922732,2964055,Chicago,No court,41.746146989963336,-87.53572874177263
17031805105,Census Tract 8051.05,,0,0.0,0.0,82800.0,Q3,7236,4.906025428413488,7.476506357103372,23.4,28.4,15.2,1.1319064026551475,2931624,Chicago,No court,42.05967732337467,-88.01515924960027
17031020901,Census Tract 209.01,West Ridge,1,1.5857913098636218,5.335538974335733,52378.0,Q1 (lowest),6306,24.78591817316841,25.59467174119886,30.4,32.1,17.0,0.1874224899883706,485422,Chicago,Has court,41.9942267725442,-87.68607836963903
