"Year","StateAbbr","StateDesc","CountyName","CountyFIPS","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","TotalPop18plus","Geolocation","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text"
"2023","IL","Illinois","Cook","17031","17031820902","BRFSS","Health Outcomes","Arthritis among adults","%","Crude prevalence","21.5",,,"19.6","23.4","5,051","3,782","POINT (-87.7530181 41.7539907)","17031820902","HLTHOUT","ARTHRITIS","CrdPrv","Arthritis"
"2023","IL","Illinois","Cook","17031","17031806802","BRFSS","Health Risk Behaviors","Current cigarette smoking among adults","%","Crude prevalence","9.8",,,"7.8","11.8","3,445","2,639","POINT (-87.7397696 42.0443774)","17031806802","RISKBEH","CSMOKING","CrdPrv","Current Cigarette Smoking"
"2023","IL","Illinois","Cook","17031","17031801100","BRFSS","Disability","Mobility disability among adults","%","Crude prevalence","6.7",,,"5.7","8.0","4,871","3,392","POINT (-87.7149697 42.0751828)","17031801100","DISABLT","MOBILITY","CrdPrv","Mobility Disability"
"2023","IL","Illinois","Cook","17031","17031823102","BRFSS","Prevention","Cholesterol screening among adults","%","Crude prevalence","84.8",,,"82.6","86.7","3,642","2,799","POINT (-87.7792908 41.6857372)","17031823102","PREVENT","CHOLSCREEN","CrdPrv","Cholesterol Screening"
"2023","IL","Illinois","Cook","17031","17031809100","BRFSS","Health Outcomes","Depression among adults","%","Crude prevalence","19.4",,,"17.1","21.7","3,437","2,632","POINT (-87.7043588 42.059352)","17031809100","HLTHOUT","DEPRESSION","CrdPrv","Depression"
"2023","IL","Illinois","Cook","17031","17031808200","BRFSS","Health Outcomes","Cancer (non-skin) or melanoma among adults","%","Crude prevalence","8.1",,,"7.3","8.9","5,646","4,473","POINT (-87.7973221 42.02642)","17031808200","HLTHOUT","CANCER","CrdPrv","Cancer (non-skin) or Melanoma"
"2023","IL","Illinois","Cook","17031","17031740400","BRFSS","Health-Related Social Needs","Loneliness among adults","%","Crude prevalence","33.5",,,"30.2","36.6","4,695","3,617","POINT (-87.7193158 41.6872391)","17031740400","SOCLNEED","LONELINESS","CrdPrv","Loneliness"
"2023","IL","Illinois","Cook","17031","17031801800","BRFSS","Health-Related Social Needs","Food insecurity in the past 12 months among adults","%","Crude prevalence","5.0",,,"4.2","5.8","5,972","4,627","POINT (-87.7875818 42.1151825)","17031801800","SOCLNEED","FOODINSECU","CrdPrv","Food Insecurity"
"2023","IL","Illinois","Cook","17031","17031770202","BRFSS","Disability","Hearing disability among adults","%","Crude prevalence","8.1",,,"7.1","9.3","5,060","4,323","POINT (-88.0219089 42.0286697)","17031770202","DISABLT","HEARING","CrdPrv","Hearing Disability"
"2023","IL","Illinois","Cook","17031","17031820604","BRFSS","Disability","Cognitive disability among adults","%","Crude prevalence","17.9",,,"15.4","20.5","3,689","2,797","POINT (-87.826879 41.749875)","17031820604","DISABLT","COGNITION","CrdPrv","Cognitive Disability"
"2023","IL","Illinois","Cook","17031","17031821001","BRFSS","Health Outcomes","Depression among adults","%","Crude prevalence","22.4",,,"19.9","25.0","5,205","3,965","POINT (-87.7913613 41.742172)","17031821001","HLTHOUT","DEPRESSION","CrdPrv","Depression"
